Category,Newegg,Amazon
Motherboards,"AMD-Motherboards, Intel-Motherboards",1048424
Computer Cases,Computer-Cases,572238
CPU Fans and Heatsinks,CPU-Fans-Heatsinks,"11036281, 2998409011"
External Harddrives,"Desktop-External-Hard-Drives, Portable-External-Hard-Drives",595048
Internal Harddrives,Desktop-Internal-Hard-Drives,1254762011
Memory,"Desktop-Memory, Laptop-Memory",172500
Gaming Keyboards,Gaming-Keyboards,402051011
HDMI Cables,HDMI-Cables,202505011
Headphones,Headphones-Accessories,"12097479011, 12097480011, 12097478011"
Internal SSDs,Internal-SSDs,1292116011
Keyboards,Keyboards,12879431
Graphics Cards,Desktop-Graphics-Cards,284822
Laptops,Laptops-Notebooks,"13896615011, 13896609011"
Laser Printers,Laser-Printers,172648
Monitors,LCD-LED-Monitors,1292115011
Mice,"Mice, Gaming-Mice","402052011, 405592011, 11036491"
Power Supplies,Power-Supplies,1161760
CPUs,Processors-Desktops,229189
Sound Cards,Sound-Cards,284823
USB Flash Drives,USB-Flash-Drives,3151491
Liquid Cooling,Water-Liquid-Cooling,3015422011
Wireless Routers,Wireless-Routers,300189,